,precision,recall,f1-score,support
train,0.0,0.0,0.0,0.0
val,1.0,0.6750830564784053,0.8060293534311781,1505.0
accuracy,0.6750830564784053,0.6750830564784053,0.6750830564784053,0.6750830564784053
macro avg,0.5,0.33754152823920264,0.40301467671558905,1505.0
weighted avg,1.0,0.6750830564784053,0.8060293534311781,1505.0
