epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,631.575,0.5825,0.55172,0.97082,1.45223,0.000302196,0.000302196,0.000302196
2,1315.35,0.41883,0.52984,0.97082,1.72154,0.000505339,0.000505339,0.000505339
3,2070.8,0.45088,0.52586,0.96883,1.86438,0.000608492,0.000608492,0.000608492
4,2852.02,0.55018,0.54244,0.95822,1.71681,0.000459045,0.000459045,0.000459045
5,3669.42,0.75131,0.53647,0.96883,1.6129,0.00030906,0.00030906,0.00030906
