epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1361.23,0.50009,0.55902,0.97414,1.65023,0.000301397,0.000301397,0.000301397
2,1562.7,0.30611,0.53448,0.96751,1.94062,0.000564507,0.000564507,0.000564507
3,1761.24,0.91316,0.53316,0.96618,1.5391,0.00078762,0.00078762,0.00078762
4,1943.75,0.844,0.53117,0.97613,1.51316,0.000729018,0.000729018,0.000729018
5,2126.39,0.78645,0.54443,0.97347,1.46355,0.000669024,0.000669024,0.000669024
6,2308.5,0.74797,0.53846,0.97016,1.54127,0.00060903,0.00060903,0.00060903
