,precision,recall,f1-score,support
train,0.0,0.0,0.0,0.0
val,0.0,0.0,0.0,1505.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,1505.0
weighted avg,0.0,0.0,0.0,1505.0
